effect_id	region_id	source_id	comparison	outcome	effect_value	effect_unit	replicates	evidence_layer	value_origin	species	cell_context	tested_interval	control	uncertainty	locator	limitations
AE011	PMP22_INTRONIC	JONES2011	EGR2_site4_mutant_vs_WT	EGR2-dependent_reporter_reduction	50	percent_reduction_approximate	n not resolved for this numerical statement	reporter	author_text_approximate	human insert in mouse cells	B16/F10 with EGR2 expression plasmid	hg18 +11 kb reporter; see mapping_audit.tsv	wild-type enhancer with same EGR2 transfection	numerical uncertainty unavailable	Results / Fig. 3B	Not native Schwann RNA; site 2 had the largest effect
AE012	PMP22_INTRONIC	JONES2011	EGR2_site1_mutant_vs_WT	activity relatively unimpaired		not_numerically_extracted	n not resolved	reporter	author_qualitative	human insert in mouse cells	B16/F10 with EGR2 expression plasmid	same +11 kb reporter	wild-type reporter	no equivalence margin or numerical interval	Results / Fig. 3B	Retained negative mutation
AE013	PMP22_INTRONIC	JONES2011	EGR2_site3_mutant_vs_WT	activity relatively unimpaired		not_numerically_extracted	n not resolved	reporter	author_qualitative	human insert in mouse cells	B16/F10 with EGR2 expression plasmid	same +11 kb reporter	wild-type reporter	no equivalence margin or numerical interval	Results / Fig. 3B	Retained negative mutation
AE014	PMP22_DISTAL	PANTERA2018	C6-C8_two_WT_allele_deletions_vs_C1-C5	WT_allele_Pmp22_RNA	0.5	fold_of_control_approximate	3 deletion clones vs 5 deletion-negative clones	native_RNA	derived_from_author_approximate_twofold_reduction	rat	S16 F2sN reporter line; approximately three chr10 copies	approximately 38 kb rat SE deletion; clone-specific junctions require supplement	deletion-negative clones; Actb normalization	SD displayed per clone; raw values unavailable; no new CI	Fig. 3B-C and Results	Two WT alleles deleted; reporter allele intact. Mpz normalization supports direction. Human envelope is only a region-class link
AE015	PMP22_DISTAL	PANTERA2018	C6-C8_vs_C1-C5	reporter_allele_Pmp22_RNA_unchanged		not_numerically_extracted	3 deletion clones vs 5 negative clones	native_RNA	author_qualitative	rat	same triploid reporter line	reporter allele retains SE	same clones; Actb and Mpz normalization	not an equivalence test	Fig. 3B-C	Internal allelic control, not independent validation
AE016	PMP22_DISTAL	PANTERA2018	C11_single_allele_deletion_vs_controls	WT_allele_RNA	0.75	fold_of_control_approximate	one clone per configuration	native_RNA	derived_from_author_approximate_percent_reduction	rat	S16 F2sN reporter line	alternative rat SE deletion; junctions in supplement	parent line and C10 negative clone	single-clone observation; no population CI	Results referring to Supplementary Fig. S3	Configuration-specific support, not a calibrated gene-dosage curve
AE017	PMP22_DISTAL	PANTERA2018	C12_single_allele_deletion_vs_controls	reporter_allele_RNA	0.5	fold_of_control_approximate	one clone per configuration	native_RNA	derived_from_author_approximate_percent_reduction	rat	S16 F2sN reporter line	alternative rat SE deletion; junctions in supplement	parent line and C10 negative clone	single-clone observation; no population CI	Results referring to Supplementary Fig. S3	Configuration-specific support, not a calibrated gene-dosage curve
AE018	PMP22_DISTAL	PANTERA2020	P0_SE_deletion_vs_WT	total RNA not significantly changed; homozygous P1 reduced		direction_only	WT=3; heterozygous=6; homozygous=4	native_RNA	author_qualitative	mouse	P0 sciatic nerve	mm10 chr11:63001867-63042405; see mouse_se_orthology.tsv	wild-type littermates; Actb normalization	no raw values/CI extracted; author ANOVA only	Fig. 2A-C and Results	Age-specific native mouse deletion; no human fold-change inferred; Mag/Mpz unchanged and Tvp23b increased at P0
AE019	PMP22_DISTAL	PANTERA2020	P10_SE_deletion_vs_WT	total RNA reduced in both deletion genotypes		direction_only	WT=5; heterozygous=5; homozygous=3	native_RNA	author_qualitative	mouse	P10 sciatic nerve	mm10 chr11:63001867-63042405; see mouse_se_orthology.tsv	wild-type littermates; Actb normalization	no raw values/CI extracted; author ANOVA only	Fig. 2A-C and Results	Age-specific native mouse deletion; no human fold-change inferred; Mag/Mpz unchanged and Tvp23b increased at P0
AE020	PMP22_DISTAL	PANTERA2020	P56_SE_deletion_vs_WT	total RNA reduced in both deletion genotypes		direction_only	WT=9; heterozygous=7; homozygous=4	native_RNA	author_qualitative	mouse	P56 sciatic nerve	mm10 chr11:63001867-63042405; see mouse_se_orthology.tsv	wild-type littermates; Actb normalization	no raw values/CI extracted; author ANOVA only	Fig. 2A-C and Results	Age-specific native mouse deletion; no human fold-change inferred; Mag/Mpz unchanged and Tvp23b increased at P0
AE021	PMP22_DISTAL	PANTERA2020	P56_SE_deletion_vs_WT	PMP22 protein reduced		direction_only	western blot: individual nerves shown; numerical n not transcribed	protein	author_qualitative	mouse	P56 sciatic nerve	same mouse SE deletion	wild-type littermates; western blot control	no numerical bar digitization or uncertainty	Fig. 2D	Separate endpoint from RNA; no human protein estimate
AE022	PMP22_DISTAL	PANTERA2020	SE_deletion_vs_WT	shorter time to 60 percent conduction block		direction_only	12 mice per genotype	function	author_qualitative	mouse	3-5 month sciatic nerve under mechanical compression	same mouse SE deletion	wild-type mice under same compression	original P<0.05; no effect-size CI extracted	Fig. 5A	60 percent is a challenge endpoint, not treatment efficacy; deletion creates vulnerability, not activation rescue
